id;name;description;is_default
1;connecting Romania;Manager;false
2;innovative Concrete mobile;SCSI Credit Card Account Fresh;true
3;Haiti;THX Managed quantifying;true
4;teal;Investment Account Optimization National;false
5;morph;bluetooth relationships;true
6;bluetooth parse copying;scalable Generic copy;false
7;lime Digitized Shoes;Soap cultivate;false
8;deposit Bacon moderator;Accounts;false
9;Creek time-frame;next-generation;true
10;transform Trinidad and Tobago;back-end Investment Account;false
